ID;price
P1.762;289
P2.1335;159
P1.114;189
P1.23;239
P2.1067;192
P2.1125;159
P2.1283;209
P3.1526;289
P3.1565;385
P1.366;299
P3.1501;399
P3.1292;169
P1.137;239
P2.982;299
P2.1033;189
P3.1302;289
P3.1502;449
P2.1296;279
P2.512;319
P2.1372;269
P2.1046;189
P2.1341;235
P2.1085;239
P1.124;169
P2BN;219
P3.1460;316
P3.1519;195
P3.1552;345
P3.1515;189
P3.1561;339
P3.1551;325
P3.1559;339
P3.1485;269
P1.174;219
P2.1001;239
P2.1278;239
P2.1000;289
P3.1521;269
P2.1037;255
P2.1189;249
P2.1260;199
P2.663;209
P2.1292;209
P2.1034;289
P3.1164;368
P2.707;229
P2.1086;269
P2.1036;239
P3.1454;219
P2.1337;209
P3.1539;187
P3.1535;299
P1.76;209
P2.1134;289
P3.1076;269
P1.802;229
P2.509;309
P3.1477;189
P1.607;239
P2.1071;209
P2.1338;239
P2.966;219
P2.1250;269
P1.287;199
P2.1126;329
P1.625;279
P3.1562;329
P3.1530;359
P2.1079;239
P2.1096;259
P3.1560;339
P2.1069;265
P3.1532;259
P1.760;299
P2.1244;209
P3.1449;240
P3.1520;319
P2.1343;209
P2.1042;319
P1.71;299
P3.1536;254
P1.560;329
P1.34;289
P2.1070;259
P1.601;309
P3.1554;220
P2.1344;319
P1.683;249
P2.1249;275
P2.1336;219
P2.949;219
P2.1133;269
P2.755;349
P2.883;289
P2.965;296
P2.1359;289
P3.1556;159
P3.1534;299
P2.884;349
P2.1057;269
P3.1537;379
P2.665;229
P3.1517;185
P3.1442;229
P3.1525;229
P3.1271;330
P1.58;239
P2.1376;245
P3.1518;279
P3.1538;185
P3.1059;189
P1.713;169
P3.1528;199
P2.1340;249
P2.1089;209
P3.1406;293
P2.922;219
P2.1366;369
P3.1334;269
P1.50;249
P2.1002;209
P2.1265;169
P1.98;229
P2.1099;319
P3.1533;294
P3.1082;336
P3.1522;176
P2.948;209
P1.198;319
P3.1541;178
P3.1409;339
P1.280;199
P2.1063;265
P1.59;229
P3.1540;169
P2.1240;219
P3.1564;259
P2.1032;189
P2.1127;339
P3.1524;239
P3.1585;425
P3.1576;199
P3.1553;309
P3.1577;209
P3.1550;359
P3.1573;299
P3.1558;369
